year,title,authors,venue,domain,method_family,foundation_model,paper_url,code_url,benchmark_relevance
2017,Mean Teacher,Tarvainen & Valpola,NeurIPS,general SSL,teacher-student / EMA,none,https://arxiv.org/abs/1703.01780,https://github.com/CuriousAI/mean-teacher,Canonical SSL baseline
2019,Uncertainty-aware Self-ensembling Model for Semi-supervised 3D Left Atrium Segmentation,Yu et al.,MICCAI,medical segmentation,uncertainty-aware Mean Teacher,none,https://doi.org/10.1007/978-3-030-32245-8_67,,Direct medical MT ancestor
2020,FixMatch: Simplifying Semi-Supervised Learning with Consistency and Confidence,Sohn et al.,NeurIPS,general SSL,pseudo-label + consistency,none,https://arxiv.org/abs/2001.07685,https://github.com/google-research/fixmatch,Canonical confidence-gated SSL
2020,Shape-aware Semi-supervised 3D Semantic Segmentation for Medical Images (SASSNet),Li et al.,MICCAI,medical segmentation,shape prior + adversarial SSL,none,https://arxiv.org/abs/2007.10732,https://github.com/kleinzcy/SASSnet,Medical SSL benchmark line
2020,Deep co-training for semi-supervised image segmentation,Peng et al.,Pattern Recognition,medical/general segmentation,co-training + diversity,none,https://doi.org/10.1016/j.patcog.2020.107269,,Includes ACDC
2021,Semi-supervised Medical Image Segmentation through Dual-task Consistency,Luo et al.,AAAI,medical segmentation,dual-task consistency,none,https://doi.org/10.1609/aaai.v35i10.17066,,DTC; widely reused specialist baseline
2021,Semi-Supervised Semantic Segmentation with Cross Pseudo Supervision,Chen et al.,CVPR,segmentation SSL,cross pseudo supervision,none,https://openaccess.thecvf.com/content/CVPR2021/html/Chen_Semi-Supervised_Semantic_Segmentation_With_Cross_Pseudo_Supervision_CVPR_2021_paper.html,,Key pseudo-supervision family
2023,FreeMatch: Self-Adaptive Thresholding for Semi-Supervised Learning,Wang et al.,ICLR,general SSL,adaptive confidence threshold,none,https://openreview.net/forum?id=PDrUPTXJI_A,https://github.com/microsoft/Semi-supervised-learning,Modern confidence gating
2024,Learning with limited annotations: A survey on deep semi-supervised learning for medical image segmentation,Survey,Computers in Biology and Medicine,survey,survey,none,https://doi.org/10.1016/j.compbiomed.2023.107840,,Pre-VFM SSL landscape
2024,Segment anything in medical images (MedSAM),Ma et al.,Nature Communications,medical foundation model,promptable foundation model,MedSAM,https://doi.org/10.1038/s41467-024-44824-z,https://github.com/bowang-lab/MedSAM,Chosen generalist
2024,Segment Anything Model for medical image segmentation: Current Applications and Future Directions,Zhang et al.,Computers in Biology and Medicine,survey,SAM medical survey,SAM family,https://doi.org/10.1016/j.compbiomed.2024.108238,https://github.com/YichiZhang98/SAM4MIS,Foundation-model survey
2024,SemiSAM: Enhancing Semi-Supervised Medical Image Segmentation via SAM-Assisted Consistency Regularization,Zhang et al.,BIBM,medical segmentation,SAM-assisted consistency,SAM,https://github.com/YichiZhang98/SemiSAM,https://github.com/YichiZhang98/SemiSAM,Direct precedent
2024,A SAM-guided and Match-based Semi-Supervised Segmentation Framework for Medical Imaging (SAMatch),Xu et al.,arXiv,medical segmentation,SAM refined pseudo-labels,SAM,https://arxiv.org/abs/2411.16949,https://github.com/apple1986/SAMatch,Direct precedent; includes ACDC
2025,SemiSAM+: Rethinking semi-supervised medical image segmentation in the era of foundation models,Zhang et al.,Medical Image Analysis,medical segmentation,generalist-specialist collaboration,SAM-Med3D / generalists,https://doi.org/10.1016/j.media.2025.103733,https://github.com/YichiZhang98/SemiSAM,Closest conceptual precedent
2025,"Stitching, Fine-Tuning, and Re-Training: A SAM-Enabled Framework for Semi-Supervised 3D Medical Image Segmentation",Li et al.,IEEE TMI,3D medical segmentation,SAM-enabled SSL,SAM,https://doi.org/10.1109/TMI.2025.3532084,,3D extension
2025,STAR: Empowering semi-supervised medical image segmentation with SAM-based teacher-student architecture and contrastive consistency regularization,Liang et al.,Expert Systems with Applications,medical segmentation,teacher-student + contrastive consistency,SAM,https://doi.org/10.1016/j.eswa.2025.128650,,Parameter-efficient SAM adaptation
2026,SemiSAM-O1: How far can we push the boundary of annotation-efficient medical image segmentation?,Zhang et al.,arXiv,3D medical segmentation,one-label propagation + iterative refinement,SAM-Med3D-turbo,https://arxiv.org/abs/2604.24109,https://github.com/YichiZhang98/SemiSAM-O1,Extreme low-label frontier
2026,SAM-driven cross prompting with adaptive sampling consistency for semi-supervised medical image segmentation (CPAC-SAM),Miao et al.,Medical Image Analysis,medical segmentation,cross prompting + prompt consistency,SAM,https://doi.org/10.1016/j.media.2026.103973,https://github.com/JuzhengMiao/CPAC-SAM,Strong current VFM+SSL method
2026,SAM foundation model and expert model cross prompting framework for semi-supervised medical image segmentation (CPPS-SAM),Zhang & He,JVCIR,medical segmentation,bidirectional cross prompting,SAM,https://doi.org/10.1016/j.jvcir.2026.104876,https://github.com/zzzz-r/CPPS-SAM,Current VFM+expert collaboration
2026,SSS: Semi-Supervised SAM-2 with efficient prompting for medical imaging segmentation,Zhu et al.,Biomedical Signal Processing and Control,medical segmentation,SAM2 SSL + prompting,SAM2,https://doi.org/10.1016/j.bspc.2026.110039,https://github.com/AIGeeksGroup/SSS,Includes ACDC; repo notes metric-evaluation discrepancy
2026,Harmonizing Generalization and Specialization: Uncertainty-Informed Collaborative Learning for Semi-Supervised Medical Image Segmentation (UnCoL),Lu et al.,IEEE TMI,medical segmentation,dual-teacher uncertainty collaboration,VFM + specialist,https://doi.org/10.1109/TMI.2026.3664940,https://github.com/VivienLu/UnCoL,Current generalist/specialist formulation
2026,ECT-3DMedSAM: Efficient Cross Teaching Using Segment Anything Model for Semi-Supervised 3D Medical Image Segmentation,Huang et al.,MIDL,3D medical segmentation,cross teaching,MedSAM-2,https://proceedings.mlr.press/v315/huang26a.html,,Current 3D VFM SSL
