run_id,dataset,specialist,condition,label_fraction,seed,status
L001,LIDC-IDRI,YOLO26-sem,SUP,0.01,1337,planned
L002,LIDC-IDRI,YOLO26-sem,SUP,0.01,2026,planned
L003,LIDC-IDRI,YOLO26-sem,SUP,0.01,31415,planned
L004,LIDC-IDRI,YOLO26-sem,SUP,0.05,1337,planned
L005,LIDC-IDRI,YOLO26-sem,SUP,0.05,2026,planned
L006,LIDC-IDRI,YOLO26-sem,SUP,0.05,31415,planned
L007,LIDC-IDRI,YOLO26-sem,SUP,0.1,1337,planned
L008,LIDC-IDRI,YOLO26-sem,SUP,0.1,2026,planned
L009,LIDC-IDRI,YOLO26-sem,SUP,0.1,31415,planned
L010,LIDC-IDRI,YOLO26-sem,SUP,0.25,1337,planned
L011,LIDC-IDRI,YOLO26-sem,SUP,0.25,2026,planned
L012,LIDC-IDRI,YOLO26-sem,SUP,0.25,31415,planned
L013,LIDC-IDRI,YOLO26-sem,MT,0.01,1337,planned
L014,LIDC-IDRI,YOLO26-sem,MT,0.01,2026,planned
L015,LIDC-IDRI,YOLO26-sem,MT,0.01,31415,planned
L016,LIDC-IDRI,YOLO26-sem,MT,0.05,1337,planned
L017,LIDC-IDRI,YOLO26-sem,MT,0.05,2026,planned
L018,LIDC-IDRI,YOLO26-sem,MT,0.05,31415,planned
L019,LIDC-IDRI,YOLO26-sem,MT,0.1,1337,planned
L020,LIDC-IDRI,YOLO26-sem,MT,0.1,2026,planned
L021,LIDC-IDRI,YOLO26-sem,MT,0.1,31415,planned
L022,LIDC-IDRI,YOLO26-sem,MT,0.25,1337,planned
L023,LIDC-IDRI,YOLO26-sem,MT,0.25,2026,planned
L024,LIDC-IDRI,YOLO26-sem,MT,0.25,31415,planned
L025,LIDC-IDRI,YOLO26-sem,MT_MEDSAM,0.01,1337,planned
L026,LIDC-IDRI,YOLO26-sem,MT_MEDSAM,0.01,2026,planned
L027,LIDC-IDRI,YOLO26-sem,MT_MEDSAM,0.01,31415,planned
L028,LIDC-IDRI,YOLO26-sem,MT_MEDSAM,0.05,1337,planned
L029,LIDC-IDRI,YOLO26-sem,MT_MEDSAM,0.05,2026,planned
L030,LIDC-IDRI,YOLO26-sem,MT_MEDSAM,0.05,31415,planned
L031,LIDC-IDRI,YOLO26-sem,MT_MEDSAM,0.1,1337,planned
L032,LIDC-IDRI,YOLO26-sem,MT_MEDSAM,0.1,2026,planned
L033,LIDC-IDRI,YOLO26-sem,MT_MEDSAM,0.1,31415,planned
L034,LIDC-IDRI,YOLO26-sem,MT_MEDSAM,0.25,1337,planned
L035,LIDC-IDRI,YOLO26-sem,MT_MEDSAM,0.25,2026,planned
L036,LIDC-IDRI,YOLO26-sem,MT_MEDSAM,0.25,31415,planned
L037,LIDC-IDRI,YOLO26-sem,SUP_100,1.0,1337,optional
L038,LIDC-IDRI,YOLO26-sem,SUP_100,1.0,2026,optional
L039,LIDC-IDRI,YOLO26-sem,SUP_100,1.0,31415,optional
